Job,Firm,Functional area,Type
"Intermediate Quantity Surveyor
Panoptic Consultancy Group",Panoptic Consultancy Group,"Project Management
+1
Risk & Compliance",Job
"Management Consultants
Collinson Grant",Collinson Grant,"Process Management
+3
Performance Management
Supply Chain
Change Management",Job
"Data Engineer
Valcon",Valcon,"Data Science
+3
Business Intelligence
IT Architecture
Software",Job
"Senior Strategist
The Upside",The Upside,"Strategy
+2
Marketing
Innovation",Job
"Director Client Services - Life Sciences
Genioo",Genioo,"Strategy
+2
Management
Sales",Job
"Independent Consultant 
dss+",dss+,Sustainability,Job
"Experienced Hire
Fairgrove Partners",Fairgrove Partners,"Strategy
+1
Mergers & Acquisitions",Job
"Senior 3D/Motion Designer
Yonder Consulting",Yonder Consulting,"Marketing
+1
Digital",Job
"Consultant Roles (at all levels) – IT Advisory
Mason Advisory",Mason Advisory,"Digital
+4
IT Strategy
Data Science
Cloud
IT Architecture",Job
"Senior Analyst
CIL Management Consultants",CIL Management Consultants,"Strategy
+1
Data Science",Job
"Internship / Work Placement
Skarbek Associates",Skarbek Associates,"Marketing
+3
Digital
Project Management
Data Science",Internship
"PH-4804; Test Automation Manager, Python / Azure
B2E Consulting",B2E Consulting,Unknown,Job
"Senior Infrastructure & Cloud Services Advisor
West Monroe",West Monroe,"Cloud
+1
IT Architecture",Job
"Analyst, satellite and space markets
Analysys Mason",Analysys Mason,"Strategy
+4
Digital
Innovation
IT Strategy
Data Science",Job
"Analyst
Enfuse Group",Enfuse Group,"Digital
+2
Innovation
Process Management",Job
"Internships
Simon-Kucher",Simon-Kucher,Pricing,Internship
"Consultant Treasury Technology
Zanders",Zanders,"Corporate Finance
+1
Finance",Job
"PMO Lead
ThreeTwoFour",ThreeTwoFour,Project Management,Job
"HR Manager
BearingPoint",BearingPoint,Human Resources,Job
"Data Scientist
Digital Power",Digital Power,Data Science,Job
"Business Analyst
Humatica",Humatica,Data Science,Job
"Analyst
Change Management Group",Change Management Group,"Process Management
+2
Change Management
Data Science",Job
"Sourcing & Commercial Role
Coeus Consulting",Coeus Consulting,"Project Management
+3
IT Strategy
IT Architecture
Outsourcing & Shared Services",Job
"Senior Consultant - Local Government Strategy
Campbell Tickell",Campbell Tickell,Strategy,Job
"Senior Business Development Manager
Ayming",Ayming,Sales,Job
"M&A Managing Partner UK
Marktlink",Marktlink,Unknown,Job
"Manager - Technology
First Consulting",First Consulting,"Mobile & Apps
+6
Project Management
Business Intelligence
Cloud
IT Architecture
Software
More",Job
"Associate Consultant
Bain & Company",Bain & Company,Strategy,Job
Alvarez & Marsal,Alvarez & Marsal,"Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma",Job
"AWS Principal Architect
PA Consulting",PA Consulting,Unknown,Job
"Business Development Manager UK
COMATCH",COMATCH,Sales,Job
"Principal Consultants
Q5",Q5,"Strategy
+2
Sales
Project Management",Job
"Consultants and Senior Consultants
Procura Consulting",Procura Consulting,"Project Management
+2
Supply Chain
Finance",Job
"Healthcare consultant
Develop Consulting",Develop Consulting,"Lean & SixSigma
+1
Change Management",Job
"Associate
McKinsey & Company",McKinsey & Company,"Strategy
+1
Digital",Job
